lambda nm,X,Y,Z
502.4,2.19E-03,3.85E-01,2.05E-01
502.5,2.21E-03,3.86E-01,2.04E-01
502.6,2.23E-03,3.88E-01,2.03E-01
502.7,2.25E-03,3.89E-01,2.02E-01
502.8,2.28E-03,3.91E-01,2.00E-01
502.9,2.31E-03,3.93E-01,1.99E-01
503,2.34E-03,3.94E-01,1.98E-01
503.1,2.37E-03,3.96E-01,1.96E-01
503.2,2.41E-03,3.97E-01,1.95E-01
503.3,2.45E-03,3.99E-01,1.94E-01
503.4,2.49E-03,4.01E-01,1.92E-01
503.5,2.54E-03,4.02E-01,1.91E-01
503.6,2.59E-03,4.04E-01,1.90E-01
503.7,2.64E-03,4.06E-01,1.89E-01
503.8,2.70E-03,4.07E-01,1.87E-01
503.9,2.76E-03,4.09E-01,1.86E-01
504,2.82E-03,4.11E-01,1.85E-01
504.1,2.89E-03,4.12E-01,1.83E-01
504.2,2.96E-03,4.14E-01,1.82E-01
504.3,3.03E-03,4.16E-01,1.81E-01
504.4,3.11E-03,4.17E-01,1.80E-01
504.5,3.19E-03,4.19E-01,1.78E-01
504.6,3.27E-03,4.21E-01,1.77E-01
504.7,3.36E-03,4.23E-01,1.76E-01
504.8,3.45E-03,4.24E-01,1.75E-01
504.9,3.55E-03,4.26E-01,1.73E-01
505,3.65E-03,4.28E-01,1.72E-01
505.1,3.75E-03,4.29E-01,1.71E-01
505.2,3.86E-03,4.31E-01,1.70E-01
505.3,3.97E-03,4.33E-01,1.68E-01
505.4,4.09E-03,4.35E-01,1.67E-01
505.5,4.21E-03,4.37E-01,1.66E-01
505.6,4.34E-03,4.38E-01,1.65E-01
505.7,4.47E-03,4.40E-01,1.63E-01
505.8,4.61E-03,4.42E-01,1.62E-01
505.9,4.75E-03,4.44E-01,1.61E-01
506,4.89E-03,4.45E-01,1.60E-01
506.1,5.04E-03,4.47E-01,1.58E-01
506.2,5.20E-03,4.49E-01,1.57E-01
506.3,5.36E-03,4.51E-01,1.56E-01
506.4,5.52E-03,4.53E-01,1.55E-01
506.5,5.69E-03,4.54E-01,1.54E-01
506.6,5.87E-03,4.56E-01,1.53E-01
506.7,6.05E-03,4.58E-01,1.51E-01
506.8,6.24E-03,4.60E-01,1.50E-01
506.9,6.43E-03,4.62E-01,1.49E-01
507,6.63E-03,4.64E-01,1.48E-01
507.1,6.83E-03,4.65E-01,1.47E-01
507.2,7.04E-03,4.67E-01,1.46E-01
507.3,7.26E-03,4.69E-01,1.45E-01
507.4,7.48E-03,4.71E-01,1.43E-01
507.5,7.71E-03,4.73E-01,1.42E-01
507.6,7.94E-03,4.75E-01,1.41E-01
507.7,8.18E-03,4.77E-01,1.40E-01
507.8,8.43E-03,4.78E-01,1.39E-01
507.9,8.68E-03,4.80E-01,1.38E-01
508,8.94E-03,4.82E-01,1.37E-01
508.1,9.21E-03,4.84E-01,1.36E-01
508.2,9.48E-03,4.86E-01,1.35E-01
508.3,9.76E-03,4.88E-01,1.34E-01
508.4,1.00E-02,4.90E-01,1.33E-01
508.5,1.03E-02,4.92E-01,1.32E-01
508.6,1.06E-02,4.93E-01,1.31E-01
508.7,1.09E-02,4.95E-01,1.30E-01
508.8,1.13E-02,4.97E-01,1.29E-01
508.9,1.16E-02,4.99E-01,1.28E-01
509,1.19E-02,5.01E-01,1.27E-01
509.1,1.22E-02,5.03E-01,1.26E-01
509.2,1.26E-02,5.05E-01,1.25E-01
509.3,1.29E-02,5.07E-01,1.24E-01
509.4,1.33E-02,5.09E-01,1.23E-01
509.5,1.36E-02,5.11E-01,1.22E-01
509.6,1.40E-02,5.13E-01,1.21E-01
509.7,1.44E-02,5.15E-01,1.20E-01
509.8,1.48E-02,5.17E-01,1.19E-01
509.9,1.52E-02,5.19E-01,1.19E-01
510,1.56E-02,5.20E-01,1.18E-01
510.1,1.60E-02,5.22E-01,1.17E-01
510.2,1.64E-02,5.24E-01,1.16E-01
510.3,1.68E-02,5.26E-01,1.15E-01
510.4,1.72E-02,5.28E-01,1.14E-01
510.5,1.77E-02,5.30E-01,1.13E-01
510.6,1.81E-02,5.32E-01,1.13E-01
510.7,1.86E-02,5.34E-01,1.12E-01
510.8,1.90E-02,5.36E-01,1.11E-01
510.9,1.95E-02,5.38E-01,1.10E-01
511,2.00E-02,5.40E-01,1.09E-01
511.1,2.05E-02,5.42E-01,1.09E-01
511.2,2.09E-02,5.44E-01,1.08E-01
511.3,2.14E-02,5.46E-01,1.07E-01
511.4,2.19E-02,5.48E-01,1.06E-01
511.5,2.24E-02,5.50E-01,1.06E-01
511.6,2.29E-02,5.52E-01,1.05E-01
511.7,2.35E-02,5.54E-01,1.04E-01
511.8,2.40E-02,5.56E-01,1.04E-01
511.9,2.45E-02,5.58E-01,1.03E-01
512,2.50E-02,5.60E-01,1.02E-01
512.1,2.56E-02,5.62E-01,1.01E-01
512.2,2.61E-02,5.64E-01,1.01E-01
512.3,2.67E-02,5.66E-01,1.00E-01
512.4,2.72E-02,5.68E-01,9.93E-02
512.5,2.78E-02,5.70E-01,9.86E-02
512.6,2.84E-02,5.72E-01,9.79E-02
512.7,2.89E-02,5.74E-01,9.73E-02
512.8,2.95E-02,5.76E-01,9.66E-02
512.9,3.01E-02,5.78E-01,9.59E-02
513,3.07E-02,5.80E-01,9.53E-02
513.1,3.13E-02,5.82E-01,9.46E-02
513.2,3.19E-02,5.84E-01,9.40E-02
513.3,3.25E-02,5.86E-01,9.33E-02
513.4,3.31E-02,5.88E-01,9.27E-02
513.5,3.37E-02,5.90E-01,9.20E-02
513.6,3.43E-02,5.92E-01,9.14E-02
513.7,3.49E-02,5.94E-01,9.08E-02
513.8,3.55E-02,5.96E-01,9.01E-02
513.9,3.61E-02,5.98E-01,8.95E-02
514,3.67E-02,6.00E-01,8.89E-02
514.1,3.74E-02,6.02E-01,8.83E-02
514.2,3.80E-02,6.04E-01,8.77E-02
514.3,3.86E-02,6.06E-01,8.71E-02
514.4,3.93E-02,6.08E-01,8.64E-02
514.5,3.99E-02,6.10E-01,8.58E-02
514.6,4.06E-02,6.12E-01,8.52E-02
514.7,4.12E-02,6.15E-01,8.46E-02
514.8,4.19E-02,6.17E-01,8.40E-02
514.9,4.25E-02,6.19E-01,8.34E-02
515,4.32E-02,6.21E-01,8.28E-02
515.1,4.38E-02,6.23E-01,8.22E-02
515.2,4.45E-02,6.25E-01,8.17E-02
515.3,4.51E-02,6.27E-01,8.11E-02
515.4,4.58E-02,6.29E-01,8.05E-02
515.5,4.64E-02,6.31E-01,7.99E-02
515.6,4.71E-02,6.33E-01,7.93E-02
515.7,4.78E-02,6.35E-01,7.87E-02
515.8,4.84E-02,6.37E-01,7.82E-02
515.9,4.91E-02,6.39E-01,7.76E-02
516,4.98E-02,6.41E-01,7.70E-02
516.1,5.05E-02,6.43E-01,7.64E-02
516.2,5.11E-02,6.45E-01,7.59E-02
516.3,5.18E-02,6.47E-01,7.53E-02
516.4,5.25E-02,6.49E-01,7.47E-02
516.5,5.32E-02,6.51E-01,7.42E-02
516.6,5.39E-02,6.53E-01,7.36E-02
516.7,5.46E-02,6.55E-01,7.31E-02
516.8,5.53E-02,6.57E-01,7.25E-02
516.9,5.60E-02,6.59E-01,7.20E-02
517,5.67E-02,6.61E-01,7.14E-02
517.1,5.74E-02,6.63E-01,7.09E-02
517.2,5.81E-02,6.65E-01,7.04E-02
517.3,5.88E-02,6.67E-01,6.98E-02
517.4,5.95E-02,6.69E-01,6.93E-02
517.5,6.03E-02,6.71E-01,6.88E-02
517.6,6.10E-02,6.73E-01,6.82E-02
517.7,6.17E-02,6.75E-01,6.77E-02
517.8,6.24E-02,6.77E-01,6.72E-02
517.9,6.32E-02,6.79E-01,6.67E-02
518,6.39E-02,6.81E-01,6.62E-02
518.1,6.47E-02,6.83E-01,6.56E-02
518.2,6.54E-02,6.85E-01,6.51E-02
518.3,6.62E-02,6.87E-01,6.46E-02
518.4,6.69E-02,6.89E-01,6.41E-02
518.5,6.77E-02,6.90E-01,6.36E-02
518.6,6.84E-02,6.92E-01,6.31E-02
518.7,6.92E-02,6.94E-01,6.26E-02
518.8,7.00E-02,6.96E-01,6.21E-02
518.9,7.08E-02,6.98E-01,6.17E-02
519,7.15E-02,7.00E-01,6.12E-02
519.1,7.23E-02,7.02E-01,6.07E-02
519.2,7.31E-02,7.04E-01,6.02E-02
519.3,7.39E-02,7.05E-01,5.97E-02
519.4,7.47E-02,7.07E-01,5.93E-02
519.5,7.55E-02,7.09E-01,5.88E-02
519.6,7.63E-02,7.11E-01,5.83E-02
519.7,7.72E-02,7.13E-01,5.79E-02
519.8,7.80E-02,7.15E-01,5.74E-02
519.9,7.88E-02,7.16E-01,5.70E-02
520,7.96E-02,7.18E-01,5.65E-02
520.1,8.05E-02,7.20E-01,5.61E-02
520.2,8.13E-02,7.22E-01,5.56E-02
520.3,8.22E-02,7.23E-01,5.52E-02
520.4,8.30E-02,7.25E-01,5.47E-02
520.5,8.39E-02,7.27E-01,5.43E-02
520.6,8.47E-02,7.28E-01,5.39E-02
520.7,8.56E-02,7.30E-01,5.34E-02
520.8,8.65E-02,7.32E-01,5.30E-02
520.9,8.73E-02,7.34E-01,5.26E-02
521,8.82E-02,7.35E-01,5.22E-02
521.1,8.91E-02,7.37E-01,5.17E-02
521.2,9.00E-02,7.38E-01,5.13E-02
521.3,9.09E-02,7.40E-01,5.09E-02
521.4,9.18E-02,7.42E-01,5.05E-02
521.5,9.27E-02,7.43E-01,5.01E-02
521.6,9.36E-02,7.45E-01,4.97E-02
521.7,9.45E-02,7.46E-01,4.93E-02
521.8,9.54E-02,7.48E-01,4.89E-02
521.9,9.63E-02,7.50E-01,4.85E-02
522,9.73E-02,7.51E-01,4.81E-02
522.1,9.82E-02,7.53E-01,4.77E-02
522.2,9.91E-02,7.54E-01,4.73E-02
522.3,1.00E-01,7.56E-01,4.69E-02
522.4,1.01E-01,7.57E-01,4.66E-02
522.5,1.02E-01,7.59E-01,4.62E-02
522.6,1.03E-01,7.60E-01,4.58E-02
522.7,1.04E-01,7.62E-01,4.54E-02
522.8,1.05E-01,7.63E-01,4.51E-02
522.9,1.06E-01,7.65E-01,4.47E-02
523,1.07E-01,7.66E-01,4.43E-02
523.1,1.08E-01,7.68E-01,4.40E-02
523.2,1.09E-01,7.69E-01,4.36E-02
523.3,1.10E-01,7.71E-01,4.32E-02
523.4,1.11E-01,7.72E-01,4.29E-02
523.5,1.12E-01,7.74E-01,4.25E-02
523.6,1.13E-01,7.75E-01,4.22E-02
523.7,1.14E-01,7.76E-01,4.18E-02
523.8,1.15E-01,7.78E-01,4.15E-02
523.9,1.16E-01,7.79E-01,4.11E-02
524,1.17E-01,7.81E-01,4.08E-02
524.1,1.18E-01,7.82E-01,4.05E-02
524.2,1.19E-01,7.84E-01,4.01E-02
524.3,1.20E-01,7.85E-01,3.98E-02
524.4,1.21E-01,7.86E-01,3.95E-02
524.5,1.22E-01,7.88E-01,3.91E-02
524.6,1.23E-01,7.89E-01,3.88E-02
524.7,1.24E-01,7.91E-01,3.85E-02
524.8,1.25E-01,7.92E-01,3.82E-02
524.9,1.26E-01,7.93E-01,3.78E-02
525,1.27E-01,7.95E-01,3.75E-02
525.1,1.28E-01,7.96E-01,3.72E-02
525.2,1.29E-01,7.97E-01,3.69E-02
525.3,1.30E-01,7.99E-01,3.66E-02
525.4,1.31E-01,8.00E-01,3.63E-02
525.5,1.32E-01,8.01E-01,3.60E-02
525.6,1.33E-01,8.03E-01,3.57E-02
525.7,1.34E-01,8.04E-01,3.54E-02
525.8,1.35E-01,8.06E-01,3.51E-02
525.9,1.36E-01,8.07E-01,3.48E-02
526,1.37E-01,8.08E-01,3.45E-02
526.1,1.38E-01,8.10E-01,3.42E-02
526.2,1.40E-01,8.11E-01,3.39E-02
526.3,1.41E-01,8.12E-01,3.36E-02
526.4,1.42E-01,8.14E-01,3.33E-02
526.5,1.43E-01,8.15E-01,3.30E-02
526.6,1.44E-01,8.16E-01,3.27E-02
526.7,1.45E-01,8.17E-01,3.25E-02
526.8,1.46E-01,8.19E-01,3.22E-02
526.9,1.47E-01,8.20E-01,3.19E-02
527,1.48E-01,8.21E-01,3.16E-02
527.1,1.49E-01,8.23E-01,3.14E-02
527.2,1.50E-01,8.24E-01,3.11E-02
527.3,1.52E-01,8.25E-01,3.08E-02
527.4,1.53E-01,8.27E-01,3.06E-02
527.5,1.54E-01,8.28E-01,3.03E-02
527.6,1.55E-01,8.29E-01,3.00E-02
527.7,1.56E-01,8.30E-01,2.98E-02
527.8,1.57E-01,8.32E-01,2.95E-02
527.9,1.58E-01,8.33E-01,2.93E-02
528,1.59E-01,8.34E-01,2.90E-02
528.1,1.60E-01,8.35E-01,2.88E-02
528.2,1.62E-01,8.37E-01,2.85E-02
528.3,1.63E-01,8.38E-01,2.83E-02
528.4,1.64E-01,8.39E-01,2.80E-02
528.5,1.65E-01,8.40E-01,2.78E-02
528.6,1.66E-01,8.41E-01,2.75E-02
528.7,1.67E-01,8.43E-01,2.73E-02
528.8,1.68E-01,8.44E-01,2.71E-02
528.9,1.69E-01,8.45E-01,2.68E-02
529,1.71E-01,8.46E-01,2.66E-02
529.1,1.72E-01,8.47E-01,2.64E-02
529.2,1.73E-01,8.49E-01,2.61E-02
529.3,1.74E-01,8.50E-01,2.59E-02
529.4,1.75E-01,8.51E-01,2.57E-02
529.5,1.76E-01,8.52E-01,2.55E-02
529.6,1.77E-01,8.53E-01,2.52E-02
529.7,1.78E-01,8.54E-01,2.50E-02
529.8,1.80E-01,8.55E-01,2.48E-02
529.9,1.81E-01,8.56E-01,2.46E-02
530,1.82E-01,8.58E-01,2.44E-02
530.1,1.83E-01,8.59E-01,2.42E-02
530.2,1.84E-01,8.60E-01,2.40E-02
530.3,1.85E-01,8.61E-01,2.38E-02
530.4,1.86E-01,8.62E-01,2.35E-02
530.5,1.87E-01,8.63E-01,2.33E-02
530.6,1.89E-01,8.64E-01,2.31E-02
530.7,1.90E-01,8.65E-01,2.29E-02
530.8,1.91E-01,8.66E-01,2.27E-02
530.9,1.92E-01,8.67E-01,2.25E-02
531,1.93E-01,8.68E-01,2.23E-02
531.1,1.94E-01,8.69E-01,2.21E-02
531.2,1.95E-01,8.70E-01,2.20E-02
531.3,1.97E-01,8.71E-01,2.18E-02
531.4,1.98E-01,8.72E-01,2.16E-02
531.5,1.99E-01,8.73E-01,2.14E-02
531.6,2.00E-01,8.74E-01,2.12E-02
531.7,2.01E-01,8.75E-01,2.10E-02
531.8,2.02E-01,8.76E-01,2.08E-02
531.9,2.03E-01,8.77E-01,2.06E-02
532,2.05E-01,8.78E-01,2.05E-02
532.1,2.06E-01,8.79E-01,2.03E-02
532.2,2.07E-01,8.80E-01,2.01E-02
532.3,2.08E-01,8.81E-01,1.99E-02
532.4,2.09E-01,8.82E-01,1.98E-02
532.5,2.10E-01,8.83E-01,1.96E-02
532.6,2.11E-01,8.84E-01,1.94E-02
532.7,2.13E-01,8.85E-01,1.92E-02
532.8,2.14E-01,8.86E-01,1.91E-02
532.9,2.15E-01,8.87E-01,1.89E-02
533,2.16E-01,8.88E-01,1.87E-02
533.1,2.17E-01,8.89E-01,1.86E-02
533.2,2.18E-01,8.90E-01,1.84E-02
533.3,2.20E-01,8.91E-01,1.82E-02
533.4,2.21E-01,8.92E-01,1.81E-02
533.5,2.22E-01,8.93E-01,1.79E-02
533.6,2.23E-01,8.94E-01,1.78E-02
533.7,2.24E-01,8.95E-01,1.76E-02
533.8,2.26E-01,8.96E-01,1.74E-02
533.9,2.27E-01,8.97E-01,1.73E-02
534,2.28E-01,8.98E-01,1.71E-02
534.1,2.29E-01,8.98E-01,1.70E-02
534.2,2.31E-01,8.99E-01,1.68E-02
534.3,2.32E-01,9.00E-01,1.67E-02
534.4,2.33E-01,9.01E-01,1.65E-02
534.5,2.34E-01,9.02E-01,1.64E-02
534.6,2.35E-01,9.03E-01,1.62E-02
534.7,2.37E-01,9.04E-01,1.61E-02
534.8,2.38E-01,9.05E-01,1.59E-02
534.9,2.39E-01,9.06E-01,1.58E-02
535,2.41E-01,9.07E-01,1.57E-02
535.1,2.42E-01,9.08E-01,1.55E-02
535.2,2.43E-01,9.09E-01,1.54E-02
535.3,2.44E-01,9.10E-01,1.52E-02
535.4,2.46E-01,9.11E-01,1.51E-02
535.5,2.47E-01,9.12E-01,1.50E-02
535.6,2.48E-01,9.13E-01,1.48E-02
535.7,2.50E-01,9.14E-01,1.47E-02
535.8,2.51E-01,9.15E-01,1.46E-02
535.9,2.52E-01,9.16E-01,1.44E-02
536,2.54E-01,9.17E-01,1.43E-02
536.1,2.55E-01,9.18E-01,1.42E-02
536.2,2.56E-01,9.19E-01,1.40E-02
536.3,2.58E-01,9.20E-01,1.39E-02
536.4,2.59E-01,9.21E-01,1.38E-02
536.5,2.60E-01,9.22E-01,1.37E-02
536.6,2.62E-01,9.23E-01,1.35E-02
536.7,2.63E-01,9.24E-01,1.34E-02
536.8,2.64E-01,9.25E-01,1.33E-02
536.9,2.66E-01,9.26E-01,1.32E-02
537,2.67E-01,9.27E-01,1.30E-02
537.1,2.69E-01,9.28E-01,1.29E-02
537.2,2.70E-01,9.29E-01,1.28E-02
537.3,2.71E-01,9.30E-01,1.27E-02
537.4,2.73E-01,9.31E-01,1.26E-02
537.5,2.74E-01,9.32E-01,1.24E-02
537.6,2.75E-01,9.33E-01,1.23E-02
537.7,2.77E-01,9.34E-01,1.22E-02
537.8,2.78E-01,9.35E-01,1.21E-02
537.9,2.80E-01,9.36E-01,1.20E-02
538,2.81E-01,9.37E-01,1.19E-02
538.1,2.83E-01,9.38E-01,1.18E-02
538.2,2.84E-01,9.39E-01,1.17E-02
538.3,2.85E-01,9.40E-01,1.16E-02
538.4,2.87E-01,9.40E-01,1.14E-02
538.5,2.88E-01,9.41E-01,1.13E-02
538.6,2.90E-01,9.42E-01,1.12E-02
538.7,2.91E-01,9.43E-01,1.11E-02
538.8,2.93E-01,9.44E-01,1.10E-02
538.9,2.94E-01,9.45E-01,1.09E-02
539,2.95E-01,9.46E-01,1.08E-02
539.1,2.97E-01,9.47E-01,1.07E-02
539.2,2.98E-01,9.48E-01,1.06E-02
539.3,3.00E-01,9.49E-01,1.05E-02
539.4,3.01E-01,9.49E-01,1.04E-02
539.5,3.03E-01,9.50E-01,1.03E-02
539.6,3.04E-01,9.51E-01,1.02E-02
539.7,3.05E-01,9.52E-01,1.01E-02
539.8,3.07E-01,9.53E-01,1.00E-02
539.9,3.08E-01,9.54E-01,9.94E-03
540,3.10E-01,9.54E-01,9.85E-03
540.1,3.11E-01,9.55E-01,9.75E-03
540.2,3.13E-01,9.56E-01,9.66E-03
540.3,3.14E-01,9.57E-01,9.57E-03
540.4,3.16E-01,9.58E-01,9.48E-03
540.5,3.17E-01,9.58E-01,9.39E-03
540.6,3.18E-01,9.59E-01,9.31E-03
540.7,3.20E-01,9.60E-01,9.22E-03
540.8,3.21E-01,9.61E-01,9.13E-03
540.9,3.23E-01,9.61E-01,9.05E-03
541,3.24E-01,9.62E-01,8.96E-03
541.1,3.26E-01,9.63E-01,8.88E-03
541.2,3.27E-01,9.63E-01,8.79E-03
541.3,3.28E-01,9.64E-01,8.71E-03
541.4,3.30E-01,9.65E-01,8.63E-03
541.5,3.31E-01,9.65E-01,8.55E-03
541.6,3.33E-01,9.66E-01,8.47E-03
541.7,3.34E-01,9.67E-01,8.39E-03
541.8,3.36E-01,9.67E-01,8.31E-03
541.9,3.37E-01,9.68E-01,8.23E-03
542,3.38E-01,9.68E-01,8.15E-03
542.1,3.40E-01,9.69E-01,8.08E-03
542.2,3.41E-01,9.70E-01,8.00E-03
542.3,3.43E-01,9.70E-01,7.92E-03
542.4,3.44E-01,9.71E-01,7.85E-03
542.5,3.46E-01,9.71E-01,7.78E-03
542.6,3.47E-01,9.72E-01,7.70E-03
542.7,3.48E-01,9.72E-01,7.63E-03
542.8,3.50E-01,9.73E-01,7.56E-03
542.9,3.51E-01,9.73E-01,7.49E-03
543,3.53E-01,9.74E-01,7.42E-03
543.1,3.54E-01,9.74E-01,7.35E-03
543.2,3.55E-01,9.75E-01,7.28E-03
543.3,3.57E-01,9.75E-01,7.21E-03
543.4,3.58E-01,9.76E-01,7.14E-03
543.5,3.60E-01,9.76E-01,7.07E-03
543.6,3.61E-01,9.77E-01,7.01E-03
543.7,3.62E-01,9.77E-01,6.94E-03
543.8,3.64E-01,9.77E-01,6.87E-03
543.9,3.65E-01,9.78E-01,6.81E-03
544,3.67E-01,9.78E-01,6.74E-03
544.1,3.68E-01,9.79E-01,6.68E-03
544.2,3.69E-01,9.79E-01,6.62E-03
544.3,3.71E-01,9.79E-01,6.55E-03
544.4,3.72E-01,9.80E-01,6.49E-03
544.5,3.74E-01,9.80E-01,6.43E-03
544.6,3.75E-01,9.80E-01,6.37E-03
544.7,3.76E-01,9.81E-01,6.31E-03
544.8,3.78E-01,9.81E-01,6.25E-03
544.9,3.79E-01,9.81E-01,6.19E-03
545,3.80E-01,9.81E-01,6.13E-03
545.1,3.82E-01,9.82E-01,6.07E-03
545.2,3.83E-01,9.82E-01,6.02E-03
545.3,3.85E-01,9.82E-01,5.96E-03
545.4,3.86E-01,9.82E-01,5.90E-03
545.5,3.87E-01,9.83E-01,5.85E-03
545.6,3.89E-01,9.83E-01,5.79E-03
545.7,3.90E-01,9.83E-01,5.73E-03
545.8,3.91E-01,9.83E-01,5.68E-03
545.9,3.93E-01,9.83E-01,5.63E-03
546,3.94E-01,9.84E-01,5.57E-03
546.1,3.95E-01,9.84E-01,5.52E-03
546.2,3.97E-01,9.84E-01,5.47E-03
546.3,3.98E-01,9.84E-01,5.42E-03
546.4,4.00E-01,9.84E-01,5.36E-03
546.5,4.01E-01,9.85E-01,5.31E-03
546.6,4.02E-01,9.85E-01,5.26E-03
546.7,4.04E-01,9.85E-01,5.21E-03
546.8,4.05E-01,9.85E-01,5.16E-03
546.9,4.06E-01,9.85E-01,5.11E-03
547,4.08E-01,9.85E-01,5.06E-03
547.1,4.09E-01,9.85E-01,5.02E-03
547.2,4.10E-01,9.85E-01,4.97E-03
547.3,4.12E-01,9.86E-01,4.92E-03
547.4,4.13E-01,9.86E-01,4.87E-03
547.5,4.15E-01,9.86E-01,4.83E-03
547.6,4.16E-01,9.86E-01,4.78E-03
547.7,4.17E-01,9.86E-01,4.73E-03
547.8,4.19E-01,9.86E-01,4.69E-03
547.9,4.20E-01,9.86E-01,4.64E-03
548,4.21E-01,9.86E-01,4.60E-03
548.1,4.23E-01,9.86E-01,4.56E-03
548.2,4.24E-01,9.87E-01,4.51E-03
548.3,4.25E-01,9.87E-01,4.47E-03
548.4,4.27E-01,9.87E-01,4.43E-03
548.5,4.28E-01,9.87E-01,4.38E-03
548.6,4.30E-01,9.87E-01,4.34E-03
548.7,4.31E-01,9.87E-01,4.30E-03
548.8,4.32E-01,9.87E-01,4.26E-03
548.9,4.34E-01,9.87E-01,4.22E-03
549,4.35E-01,9.88E-01,4.18E-03
549.1,4.37E-01,9.88E-01,4.14E-03
549.2,4.38E-01,9.88E-01,4.10E-03
549.3,4.39E-01,9.88E-01,4.06E-03
549.4,4.41E-01,9.88E-01,4.02E-03
549.5,4.42E-01,9.88E-01,3.98E-03
549.6,4.44E-01,9.88E-01,3.94E-03
549.7,4.45E-01,9.89E-01,3.90E-03
549.8,4.47E-01,9.89E-01,3.86E-03
549.9,4.48E-01,9.89E-01,3.83E-03
550,4.49E-01,9.89E-01,3.79E-03
550.1,4.51E-01,9.89E-01,3.75E-03
550.2,4.52E-01,9.89E-01,3.72E-03
550.3,4.54E-01,9.90E-01,3.68E-03
550.4,4.55E-01,9.90E-01,3.65E-03
550.5,4.57E-01,9.90E-01,3.61E-03
550.6,4.58E-01,9.90E-01,3.58E-03
550.7,4.60E-01,9.90E-01,3.54E-03
550.8,4.61E-01,9.91E-01,3.51E-03
550.9,4.63E-01,9.91E-01,3.47E-03
551,4.64E-01,9.91E-01,3.44E-03
551.1,4.66E-01,9.91E-01,3.41E-03
551.2,4.67E-01,9.92E-01,3.37E-03
551.3,4.69E-01,9.92E-01,3.34E-03
551.4,4.70E-01,9.92E-01,3.31E-03
551.5,4.72E-01,9.92E-01,3.28E-03
551.6,4.73E-01,9.93E-01,3.24E-03
551.7,4.75E-01,9.93E-01,3.21E-03
551.8,4.76E-01,9.93E-01,3.18E-03
551.9,4.78E-01,9.93E-01,3.15E-03
552,4.79E-01,9.93E-01,3.12E-03
552.1,4.81E-01,9.94E-01,3.09E-03
552.2,4.83E-01,9.94E-01,3.06E-03
552.3,4.84E-01,9.94E-01,3.03E-03
552.4,4.86E-01,9.94E-01,3.00E-03
552.5,4.87E-01,9.95E-01,2.97E-03
552.6,4.89E-01,9.95E-01,2.94E-03
552.7,4.90E-01,9.95E-01,2.91E-03
552.8,4.92E-01,9.95E-01,2.88E-03
552.9,4.94E-01,9.96E-01,2.86E-03
553,4.95E-01,9.96E-01,2.83E-03
553.1,4.97E-01,9.96E-01,2.80E-03
553.2,4.98E-01,9.96E-01,2.77E-03
553.3,5.00E-01,9.97E-01,2.75E-03
553.4,5.02E-01,9.97E-01,2.72E-03
553.5,5.03E-01,9.97E-01,2.69E-03
553.6,5.05E-01,9.97E-01,2.67E-03
553.7,5.07E-01,9.97E-01,2.64E-03
553.8,5.08E-01,9.98E-01,2.62E-03
553.9,5.10E-01,9.98E-01,2.59E-03
554,5.11E-01,9.98E-01,2.57E-03
554.1,5.13E-01,9.98E-01,2.54E-03
554.2,5.15E-01,9.98E-01,2.52E-03
554.3,5.16E-01,9.99E-01,2.49E-03
554.4,5.18E-01,9.99E-01,2.47E-03
554.5,5.20E-01,9.99E-01,2.44E-03
554.6,5.21E-01,9.99E-01,2.42E-03
554.7,5.23E-01,9.99E-01,2.40E-03
554.8,5.25E-01,9.99E-01,2.37E-03
554.9,5.26E-01,9.99E-01,2.35E-03
555,5.28E-01,9.99E-01,2.33E-03
555.1,5.30E-01,1.00E+00,2.30E-03
555.2,5.31E-01,1.00E+00,2.28E-03
555.3,5.33E-01,1.00E+00,2.26E-03
555.4,5.35E-01,1.00E+00,2.24E-03
555.5,5.36E-01,1.00E+00,2.22E-03
555.6,5.38E-01,1.00E+00,2.20E-03
555.7,5.40E-01,1.00E+00,2.17E-03
555.8,5.41E-01,1.00E+00,2.15E-03
555.9,5.43E-01,1.00E+00,2.13E-03
556,5.45E-01,1.00E+00,2.11E-03
556.1,5.47E-01,1.00E+00,2.09E-03
556.2,5.48E-01,1.00E+00,2.07E-03
556.3,5.50E-01,1.00E+00,2.05E-03
556.4,5.52E-01,1.00E+00,2.03E-03
556.5,5.53E-01,1.00E+00,2.01E-03
556.6,5.55E-01,1.00E+00,1.99E-03
556.7,5.57E-01,1.00E+00,1.97E-03
556.8,5.58E-01,1.00E+00,1.95E-03
556.9,5.60E-01,1.00E+00,1.93E-03
557,5.62E-01,1.00E+00,1.92E-03
557.1,5.64E-01,1.00E+00,1.90E-03
557.2,5.65E-01,1.00E+00,1.88E-03
557.3,5.67E-01,1.00E+00,1.86E-03
557.4,5.69E-01,9.99E-01,1.84E-03
557.5,5.70E-01,9.99E-01,1.83E-03
557.6,5.72E-01,9.99E-01,1.81E-03
557.7,5.74E-01,9.99E-01,1.79E-03
557.8,5.76E-01,9.99E-01,1.77E-03
557.9,5.77E-01,9.99E-01,1.76E-03
558,5.79E-01,9.99E-01,1.74E-03
558.1,5.81E-01,9.99E-01,1.72E-03
558.2,5.82E-01,9.99E-01,1.71E-03
558.3,5.84E-01,9.99E-01,1.69E-03
558.4,5.86E-01,9.99E-01,1.67E-03
558.5,5.88E-01,9.98E-01,1.66E-03
558.6,5.89E-01,9.98E-01,1.64E-03
