lambda nm,X,Y,Z
406.9,6.14E-02,6.34E-03,3.08E-01
407,6.22E-02,6.42E-03,3.12E-01
407.1,6.31E-02,6.50E-03,3.16E-01
407.2,6.39E-02,6.58E-03,3.20E-01
407.3,6.47E-02,6.66E-03,3.24E-01
407.4,6.55E-02,6.75E-03,3.29E-01
407.5,6.64E-02,6.83E-03,3.33E-01
407.6,6.72E-02,6.91E-03,3.37E-01
407.7,6.81E-02,6.99E-03,3.41E-01
407.8,6.90E-02,7.08E-03,3.46E-01
407.9,6.98E-02,7.16E-03,3.50E-01
408,7.07E-02,7.25E-03,3.55E-01
408.1,7.16E-02,7.34E-03,3.59E-01
408.2,7.25E-02,7.42E-03,3.64E-01
408.3,7.34E-02,7.51E-03,3.68E-01
408.4,7.43E-02,7.60E-03,3.73E-01
408.5,7.52E-02,7.69E-03,3.78E-01
408.6,7.61E-02,7.78E-03,3.82E-01
408.7,7.70E-02,7.87E-03,3.87E-01
408.8,7.80E-02,7.96E-03,3.92E-01
408.9,7.89E-02,8.05E-03,3.96E-01
409,7.98E-02,8.14E-03,4.01E-01
409.1,8.08E-02,8.23E-03,4.06E-01
409.2,8.17E-02,8.32E-03,4.11E-01
409.3,8.27E-02,8.42E-03,4.16E-01
409.4,8.36E-02,8.51E-03,4.21E-01
409.5,8.46E-02,8.60E-03,4.26E-01
409.6,8.56E-02,8.70E-03,4.31E-01
409.7,8.66E-02,8.79E-03,4.36E-01
409.8,8.76E-02,8.89E-03,4.41E-01
409.9,8.85E-02,8.98E-03,4.46E-01
410,8.95E-02,9.08E-03,4.51E-01
410.1,9.05E-02,9.18E-03,4.56E-01
410.2,9.15E-02,9.27E-03,4.61E-01
410.3,9.26E-02,9.37E-03,4.66E-01
410.4,9.36E-02,9.47E-03,4.72E-01
410.5,9.46E-02,9.56E-03,4.77E-01
410.6,9.56E-02,9.66E-03,4.82E-01
410.7,9.66E-02,9.76E-03,4.87E-01
410.8,9.77E-02,9.86E-03,4.93E-01
410.9,9.87E-02,9.96E-03,4.98E-01
411,9.97E-02,1.01E-02,5.03E-01
411.1,1.01E-01,1.02E-02,5.09E-01
411.2,1.02E-01,1.03E-02,5.14E-01
411.3,1.03E-01,1.04E-02,5.20E-01
411.4,1.04E-01,1.05E-02,5.25E-01
411.5,1.05E-01,1.06E-02,5.31E-01
411.6,1.06E-01,1.07E-02,5.36E-01
411.7,1.07E-01,1.08E-02,5.42E-01
411.8,1.08E-01,1.09E-02,5.47E-01
411.9,1.09E-01,1.10E-02,5.53E-01
412,1.10E-01,1.11E-02,5.59E-01
412.1,1.11E-01,1.12E-02,5.64E-01
412.2,1.13E-01,1.13E-02,5.70E-01
412.3,1.14E-01,1.14E-02,5.76E-01
412.4,1.15E-01,1.15E-02,5.81E-01
412.5,1.16E-01,1.16E-02,5.87E-01
412.6,1.17E-01,1.17E-02,5.93E-01
412.7,1.18E-01,1.18E-02,5.99E-01
412.8,1.19E-01,1.19E-02,6.05E-01
412.9,1.20E-01,1.20E-02,6.10E-01
413,1.21E-01,1.21E-02,6.16E-01
