lambda nm,L,M
414.7,1.31E-02,1.41E-02
414.8,1.32E-02,1.43E-02
414.9,1.33E-02,1.44E-02
415,1.34E-02,1.45E-02
415.1,1.35E-02,1.47E-02
415.2,1.36E-02,1.48E-02
415.3,1.37E-02,1.49E-02
415.4,1.38E-02,1.51E-02
415.5,1.39E-02,1.52E-02
415.6,1.40E-02,1.53E-02
415.7,1.41E-02,1.55E-02
415.8,1.42E-02,1.56E-02
415.9,1.43E-02,1.57E-02
416,1.44E-02,1.59E-02
416.1,1.45E-02,1.60E-02
416.2,1.46E-02,1.61E-02
416.3,1.47E-02,1.63E-02
416.4,1.48E-02,1.64E-02
416.5,1.49E-02,1.65E-02
416.6,1.50E-02,1.67E-02
416.7,1.51E-02,1.68E-02
416.8,1.52E-02,1.70E-02
416.9,1.53E-02,1.71E-02
417,1.54E-02,1.72E-02
417.1,1.55E-02,1.74E-02
417.2,1.56E-02,1.75E-02
417.3,1.57E-02,1.77E-02
417.4,1.58E-02,1.78E-02
417.5,1.59E-02,1.80E-02
417.6,1.60E-02,1.81E-02
417.7,1.61E-02,1.83E-02
417.8,1.62E-02,1.84E-02
417.9,1.63E-02,1.85E-02
418,1.64E-02,1.87E-02
418.1,1.65E-02,1.88E-02
418.2,1.66E-02,1.90E-02
418.3,1.68E-02,1.91E-02
418.4,1.69E-02,1.93E-02
418.5,1.70E-02,1.94E-02
418.6,1.71E-02,1.96E-02
418.7,1.72E-02,1.97E-02
418.8,1.73E-02,1.99E-02
418.9,1.74E-02,2.00E-02
419,1.75E-02,2.02E-02
419.1,1.76E-02,2.03E-02
419.2,1.77E-02,2.05E-02
419.3,1.78E-02,2.06E-02
419.4,1.79E-02,2.08E-02
419.5,1.80E-02,2.09E-02
419.6,1.81E-02,2.11E-02
419.7,1.82E-02,2.12E-02
419.8,1.83E-02,2.14E-02
419.9,1.84E-02,2.15E-02
420,1.84E-02,2.17E-02
420.1,1.85E-02,2.18E-02
420.2,1.86E-02,2.20E-02
420.3,1.87E-02,2.21E-02
