lambda nm,HbO2 cm-1/M,Hb cm-1/M,HbCR,HbO2CR
866,1118.4,699.92,0.012938356,0.007452688
868,1123.2,701.8,0.013291786,0.007645413
870,1128,705.84,0.013661802,0.007871345
872,1132.8,709.96,0.0140496,0.00810914
874,1137.6,714.08,0.014456492,0.008358746
876,1142.8,718.2,0.014889137,0.008621064
878,1148.4,722.32,0.015349534,0.008897092
880,1154,726.44,0.015834408,0.009187933
882,1159.6,729.84,0.016345766,0.009485455
884,1165.2,733.2,0.016885836,0.009799314
886,1170,736.6,0.01744518,0.010132041
888,1174,739.96,0.018025517,0.010484204
890,1178,743.6,0.018641438,0.010862285
892,1182,747.24,0.019296318,0.011264548
894,1186,750.88,0.019993976,0.011693392
896,1190,754.52,0.020738744,0.01215154
898,1194,758.16,0.02153556,0.012642103
900,1198,761.84,0.022390079,0.013169337
902,1202,765.04,0.023308804,0.013728101
904,1206,767.44,0.024299253,0.014316168
906,1209.2,769.8,0.025353393,0.014951922
908,1211.6,772.16,0.026479315,0.015642322
910,1214,774.56,0.027704795,0.016395576
912,1216.4,776.92,0.029043651,0.017218778
914,1218.8,778.4,0.030512378,0.018102745
916,1220.8,778.04,0.032120312,0.019033454
918,1222.4,777.72,0.033889884,0.020067089
920,1224,777.36,0.035860337,0.021219348
922,1225.6,777.04,0.038067934,0.022514424
924,1227.2,776.64,0.040558226,0.023976674
926,1226.8,772.36,0.043318611,0.025515711
928,1224.4,768.08,0.046408586,0.027286737
930,1222,763.84,0.049988328,0.029348019
932,1219.6,752.28,0.054184301,0.031468954
934,1217.2,737.56,0.059170613,0.033857937
936,1215.6,722.88,0.065236711,0.036764479
938,1214.8,708.16,0.072758471,0.040371808
940,1214,693.44,0.08225492,0.044971775
942,1213.2,678.72,0.094621182,0.051039465
944,1212.4,660.52,0.111389686,0.059099316
946,1210.4,641.08,0.135286041,0.070798949
948,1207.2,621.64,0.172220299,0.089658334
950,1204,602.24,0.237368392,0.125155647
952,1200.8,583.4,0.383037362,0.216843132
954,1197.6,568.92,1,1
956,1194,554.48,,
958,1190,540.04,,
960,1186,525.56,,
962,1182,511.12,,
964,1178,495.36,,
966,1173.2,473.32,,
968,1167.6,451.32,,
970,1162,429.32,,
972,1156.4,415.28,,
974,1150.8,402.28,,
976,1144,389.288,,
978,1136,374.944,,
980,1128,359.656,,
982,1120,344.372,,
984,1112,329.084,,
986,1102.4,313.796,,
988,1091.2,298.508,,
990,1080,283.22,,
992,1068.8,267.932,,
994,1057.6,252.648,,
996,1046.4,237.36,,
998,1035.2,222.072,,
1000,1024,206.784,,
