lambda nm,S
477.8,4.43E-01
477.9,4.40E-01
478,4.38E-01
478.1,4.35E-01
478.2,4.33E-01
478.3,4.31E-01
478.4,4.28E-01
478.5,4.26E-01
478.6,4.23E-01
478.7,4.21E-01
478.8,4.18E-01
478.9,4.16E-01
479,4.14E-01
479.1,4.11E-01
479.2,4.09E-01
479.3,4.06E-01
479.4,4.04E-01
479.5,4.02E-01
479.6,3.99E-01
479.7,3.97E-01
479.8,3.95E-01
479.9,3.93E-01
480,3.90E-01
480.1,3.88E-01
480.2,3.86E-01
480.3,3.84E-01
480.4,3.81E-01
480.5,3.79E-01
480.6,3.77E-01
480.7,3.75E-01
480.8,3.73E-01
480.9,3.71E-01
481,3.68E-01
481.1,3.66E-01
481.2,3.64E-01
481.3,3.62E-01
481.4,3.60E-01
481.5,3.58E-01
481.6,3.56E-01
481.7,3.54E-01
481.8,3.52E-01
481.9,3.50E-01
482,3.48E-01
482.1,3.46E-01
482.2,3.44E-01
482.3,3.42E-01
482.4,3.40E-01
482.5,3.38E-01
482.6,3.36E-01
482.7,3.34E-01
482.8,3.32E-01
482.9,3.30E-01
483,3.28E-01
483.1,3.26E-01
483.2,3.24E-01
483.3,3.22E-01
483.4,3.20E-01
483.5,3.18E-01
483.6,3.16E-01
483.7,3.14E-01
483.8,3.12E-01
483.9,3.11E-01
484,3.09E-01
484.1,3.07E-01
484.2,3.05E-01
484.3,3.03E-01
484.4,3.01E-01
484.5,2.99E-01
484.6,2.98E-01
484.7,2.96E-01
484.8,2.94E-01
484.9,2.92E-01
485,2.90E-01
485.1,2.89E-01
485.2,2.87E-01
485.3,2.85E-01
485.4,2.83E-01
485.5,2.81E-01
485.6,2.80E-01
485.7,2.78E-01
485.8,2.76E-01
485.9,2.74E-01
486,2.73E-01
486.1,2.71E-01
486.2,2.69E-01
486.3,2.67E-01
486.4,2.66E-01
486.5,2.64E-01
486.6,2.62E-01
486.7,2.61E-01
486.8,2.59E-01
486.9,2.57E-01
487,2.56E-01
487.1,2.54E-01
487.2,2.53E-01
487.3,2.51E-01
487.4,2.49E-01
487.5,2.48E-01
487.6,2.46E-01
487.7,2.45E-01
487.8,2.43E-01
487.9,2.41E-01
488,2.40E-01
488.1,2.38E-01
488.2,2.37E-01
488.3,2.35E-01
488.4,2.34E-01
488.5,2.32E-01
488.6,2.31E-01
488.7,2.30E-01
488.8,2.28E-01
488.9,2.27E-01
489,2.25E-01
489.1,2.24E-01
489.2,2.22E-01
489.3,2.21E-01
489.4,2.20E-01
489.5,2.18E-01
489.6,2.17E-01
489.7,2.16E-01
489.8,2.14E-01
489.9,2.13E-01
490,2.12E-01
490.1,2.11E-01
490.2,2.09E-01
490.3,2.08E-01
490.4,2.07E-01
490.5,2.06E-01
490.6,2.04E-01
490.7,2.03E-01
490.8,2.02E-01
490.9,2.01E-01
491,2.00E-01
491.1,1.99E-01
491.2,1.97E-01
491.3,1.96E-01
491.4,1.95E-01
491.5,1.94E-01
491.6,1.93E-01
491.7,1.92E-01
491.8,1.91E-01
491.9,1.90E-01
492,1.89E-01
492.1,1.88E-01
492.2,1.87E-01
492.3,1.86E-01
492.4,1.85E-01
492.5,1.84E-01
492.6,1.83E-01
492.7,1.82E-01
492.8,1.81E-01
492.9,1.80E-01
493,1.79E-01
493.1,1.78E-01
493.2,1.77E-01
493.3,1.76E-01
493.4,1.75E-01
493.5,1.74E-01
493.6,1.73E-01
493.7,1.72E-01
493.8,1.71E-01
493.9,1.70E-01
494,1.69E-01
494.1,1.68E-01
494.2,1.67E-01
494.3,1.67E-01
494.4,1.66E-01
494.5,1.65E-01
494.6,1.64E-01
494.7,1.63E-01
494.8,1.62E-01
494.9,1.61E-01
495,1.61E-01
495.1,1.60E-01
495.2,1.59E-01
495.3,1.58E-01
495.4,1.57E-01
495.5,1.56E-01
495.6,1.56E-01
495.7,1.55E-01
495.8,1.54E-01
495.9,1.53E-01
496,1.52E-01
496.1,1.52E-01
496.2,1.51E-01
496.3,1.50E-01
496.4,1.49E-01
496.5,1.48E-01
496.6,1.48E-01
496.7,1.47E-01
496.8,1.46E-01
496.9,1.45E-01
497,1.45E-01
497.1,1.44E-01
497.2,1.43E-01
497.3,1.42E-01
497.4,1.42E-01
497.5,1.41E-01
497.6,1.40E-01
497.7,1.39E-01
497.8,1.39E-01
497.9,1.38E-01
498,1.37E-01
498.1,1.36E-01
498.2,1.36E-01
498.3,1.35E-01
498.4,1.34E-01
498.5,1.34E-01
498.6,1.33E-01
498.7,1.32E-01
498.8,1.31E-01
498.9,1.31E-01
499,1.30E-01
499.1,1.29E-01
499.2,1.29E-01
499.3,1.28E-01
499.4,1.27E-01
499.5,1.26E-01
499.6,1.26E-01
499.7,1.25E-01
499.8,1.24E-01
499.9,1.24E-01
500,1.23E-01
500.1,1.22E-01
500.2,1.21E-01
500.3,1.21E-01
500.4,1.20E-01
500.5,1.19E-01
500.6,1.19E-01
500.7,1.18E-01
500.8,1.17E-01
500.9,1.17E-01
501,1.16E-01
501.1,1.15E-01
501.2,1.14E-01
501.3,1.14E-01
501.4,1.13E-01
501.5,1.12E-01
501.6,1.12E-01
501.7,1.11E-01
501.8,1.10E-01
501.9,1.10E-01
502,1.09E-01
502.1,1.08E-01
502.2,1.08E-01
502.3,1.07E-01
502.4,1.06E-01
502.5,1.06E-01
502.6,1.05E-01
502.7,1.04E-01
502.8,1.03E-01
502.9,1.03E-01
503,1.02E-01
503.1,1.01E-01
503.2,1.01E-01
503.3,1.00E-01
503.4,9.94E-02
503.5,9.88E-02
503.6,9.81E-02
503.7,9.74E-02
503.8,9.68E-02
503.9,9.61E-02
504,9.54E-02
504.1,9.48E-02
504.2,9.41E-02
504.3,9.35E-02
504.4,9.28E-02
504.5,9.21E-02
504.6,9.15E-02
504.7,9.08E-02
504.8,9.02E-02
504.9,8.95E-02
505,8.89E-02
505.1,8.83E-02
505.2,8.76E-02
505.3,8.70E-02
505.4,8.63E-02
505.5,8.57E-02
505.6,8.51E-02
505.7,8.44E-02
505.8,8.38E-02
505.9,8.32E-02
506,8.25E-02
506.1,8.19E-02
506.2,8.13E-02
506.3,8.07E-02
506.4,8.01E-02
506.5,7.95E-02
506.6,7.88E-02
506.7,7.82E-02
506.8,7.76E-02
506.9,7.71E-02
507,7.65E-02
507.1,7.59E-02
507.2,7.53E-02
507.3,7.47E-02
507.4,7.41E-02
507.5,7.36E-02
507.6,7.30E-02
507.7,7.24E-02
507.8,7.19E-02
507.9,7.13E-02
508,7.08E-02
508.1,7.02E-02
508.2,6.97E-02
508.3,6.92E-02
508.4,6.86E-02
508.5,6.81E-02
508.6,6.76E-02
508.7,6.71E-02
508.8,6.66E-02
508.9,6.60E-02
509,6.55E-02
509.1,6.51E-02
509.2,6.46E-02
509.3,6.41E-02
509.4,6.36E-02
509.5,6.31E-02
509.6,6.27E-02
509.7,6.22E-02
509.8,6.17E-02
509.9,6.13E-02
510,6.08E-02
510.1,6.04E-02
510.2,5.99E-02
510.3,5.95E-02
510.4,5.91E-02
510.5,5.86E-02
510.6,5.82E-02
510.7,5.78E-02
510.8,5.74E-02
510.9,5.70E-02
511,5.66E-02
511.1,5.62E-02
511.2,5.58E-02
511.3,5.54E-02
511.4,5.50E-02
511.5,5.46E-02
511.6,5.43E-02
511.7,5.39E-02
511.8,5.35E-02
511.9,5.31E-02
512,5.28E-02
512.1,5.24E-02
512.2,5.20E-02
512.3,5.17E-02
512.4,5.13E-02
512.5,5.10E-02
512.6,5.06E-02
512.7,5.03E-02
512.8,4.99E-02
512.9,4.96E-02
513,4.92E-02
513.1,4.89E-02
513.2,4.86E-02
513.3,4.82E-02
513.4,4.79E-02
513.5,4.76E-02
513.6,4.72E-02
513.7,4.69E-02
513.8,4.66E-02
513.9,4.63E-02
514,4.59E-02
514.1,4.56E-02
514.2,4.53E-02
514.3,4.50E-02
514.4,4.47E-02
514.5,4.44E-02
514.6,4.41E-02
514.7,4.37E-02
514.8,4.34E-02
514.9,4.31E-02
515,4.28E-02
515.1,4.25E-02
515.2,4.22E-02
515.3,4.19E-02
515.4,4.16E-02
515.5,4.13E-02
515.6,4.10E-02
515.7,4.07E-02
515.8,4.04E-02
515.9,4.01E-02
516,3.98E-02
516.1,3.95E-02
516.2,3.92E-02
516.3,3.89E-02
516.4,3.86E-02
516.5,3.83E-02
516.6,3.81E-02
516.7,3.78E-02
516.8,3.75E-02
516.9,3.72E-02
517,3.69E-02
517.1,3.66E-02
517.2,3.64E-02
517.3,3.61E-02
517.4,3.58E-02
517.5,3.55E-02
517.6,3.53E-02
517.7,3.50E-02
517.8,3.47E-02
517.9,3.45E-02
518,3.42E-02
518.1,3.39E-02
518.2,3.37E-02
518.3,3.34E-02
518.4,3.31E-02
518.5,3.29E-02
518.6,3.26E-02
518.7,3.24E-02
518.8,3.21E-02
518.9,3.19E-02
519,3.16E-02
519.1,3.14E-02
519.2,3.11E-02
519.3,3.09E-02
